doi,title_cleaned,journal_name_cleaned,features_union_titre_journal,bso_classification
10.1109/CAMA49227.2021.9703646,large scale lorawan lpwan deployment danang city vietnam,ieee conference antenna measurement application cama,large scale lorawan lpwan deployment danang city vietnam ieee conference antenna measurement application cama,Computer and information sciences
10.1590/1415-4714.2021v24n4p570.5,jouissance féminine maternel question,revista latinoamericana psicopatologia fundamental,jouissance féminine maternel question revista latinoamericana psicopatologia fundamental,Humanities
10.1109/ICCV48922.2021.01281,learning augmented rgb representation cross modal knowledge distillation action detection,ieee cvf international conference computer vision iccv,learning augmented rgb representation cross modal knowledge distillation action detection ieee cvf international conference computer vision iccv,Computer and information sciences
10.1109/ICCV48922.2021.01469,ice inter instance contrastive encoding unsupervised person identification,ieee cvf international conference computer vision iccv,ice inter instance contrastive encoding unsupervised person identification ieee cvf international conference computer vision iccv,Computer and information sciences
10.1353/phs.2021.0012,matter grave concern burial site funeral rite nineteenth century philippine,philippine study historical ethnographic viewpoint,matter grave concern burial site funeral rite nineteenth century philippine philippine study historical ethnographic viewpoint,Humanities
10.1128/Spectrum.00996-21,evaluation sample pooling sars cov detection nasopharyngeal swab saliva sample idylla sars cov test,microbiology spectrum,evaluation sample pooling sars cov detection nasopharyngeal swab saliva sample idylla sars cov test microbiology spectrum,Biology (fond.)
10.1109/ICCSA54496.2021.00017,scaled inexact adaptive fast iterative soft thresholding algorithm convex image restoration,international conference computational science application iccsa,scaled inexact adaptive fast iterative soft thresholding algorithm convex image restoration international conference computational science application iccsa,Computer and information sciences
10.1017/S1759078715001282,conformal antenna array millimeter wave communication performance evaluation,international journal microwave wireless technology,conformal antenna array millimeter wave communication performance evaluation international journal microwave wireless technology,Engineering
10.23919/MIPRO52101.2021.9596918,digitalization university technology transfer process,international convention information communication electronic technology mipro,digitalization university technology transfer process international convention information communication electronic technology mipro,Social sciences
10.1109/GLOBECOM46510.2021.9686003,caching heterogeneous size content small cell network comp joint transmission,ieee global communication conference globecom,caching heterogeneous size content small cell network comp joint transmission ieee global communication conference globecom,Computer and information sciences
10.1109/GLOBECOM46510.2021.9685954,taking two bird one cache,ieee global communication conference globecom,taking two bird one cache ieee global communication conference globecom,Computer and information sciences
10.1109/MLSP52302.2021.9596204,small moving target mot tracking phd filter attention based cnn,ieee international workshop machine learning signal processing mlsp,small moving target mot tracking phd filter attention based cnn ieee international workshop machine learning signal processing mlsp,Computer and information sciences
10.4018/978-1-7998-9152-9.ch074,renewable energy source development rural area african country,research anthology clean energy management solution,renewable energy source development rural area african country research anthology clean energy management solution,"Earth, Ecology, Energy and applied biology"
10.1109/SMC.2016.7844725,separability marker based high dimensional statistic classification confidence assessment,ieee international conference system man cybernetics smc,separability marker based high dimensional statistic classification confidence assessment ieee international conference system man cybernetics smc,Computer and information sciences
10.1108/MF-07-2016-0205,beyond earnings ebitda reporting governance matter market participant,managerial finance,beyond earnings ebitda reporting governance matter market participant managerial finance,Social sciences
10.1128/AEM.02617-16,management multiple nitrogen source wine fermentation saccharomyces cerevisiae,applied environmental microbiology,management multiple nitrogen source wine fermentation saccharomyces cerevisiae applied environmental microbiology,Biology (fond.)
10.3233/HSM-160876,french company quality assurance performance crisis context,human system management,french company quality assurance performance crisis context human system management,Social sciences
10.1109/GLOCOMW.2016.7848854,case caching model predictive control quality decision algorithm http adaptive streaming cache awareness actually needed,ieee globecom workshop wkshps,case caching model predictive control quality decision algorithm http adaptive streaming cache awareness actually needed ieee globecom workshop wkshps,Computer and information sciences
10.1142/S0218271817300166,binary system associated short long gamma ray burst detectability,international journal modern physic,binary system associated short long gamma ray burst detectability international journal modern physic,"Physical sciences, Astronomy"
10.1109/TRO.2017.2664888,simulation discrete time controlled cable driven parallel robot trajectory,ieee transaction robotics,simulation discrete time controlled cable driven parallel robot trajectory ieee transaction robotics,Computer and information sciences
10.2118/173309-PA,implementation vertex centered method inside industrial reservoir simulator practical issue comprehensive comparison corner point grid perpendicular bisector grid model field case,spe journal,implementation vertex centered method inside industrial reservoir simulator practical issue comprehensive comparison corner point grid perpendicular bisector grid model field case spe journal,Medical research
10.1097/DAD.0000000000000831,germinotropic onychocytic matricoma new histopathologic subtype onychocytic matricoma light microanatomy normal nail unit special reference nail mesenchyme,american journal dermatopathology,germinotropic onychocytic matricoma new histopathologic subtype onychocytic matricoma light microanatomy normal nail unit special reference nail mesenchyme american journal dermatopathology,Medical research
10.1109/TIP.2016.2627815,nonlinear unmixing hyperspectral data vector valued kernel function,ieee transaction image processing,nonlinear unmixing hyperspectral data vector valued kernel function ieee transaction image processing,Computer and information sciences
10.1007/s11695-017-2580-2,migration endoscopic double pigtail drain abdominal wall placed treatment fistula post revisional bariatric surgery,obesity surgery,migration endoscopic double pigtail drain abdominal wall placed treatment fistula post revisional bariatric surgery obesity surgery,Medical research
10.1017/S0022377816000684,special issue pellat thesis prize winner,journal plasma physic,special issue pellat thesis prize winner journal plasma physic,"Physical sciences, Astronomy"
10.1109/ACSSC.2016.7869604,distributed learning multitask network linearly related task,asilomar conference signal system computer,distributed learning multitask network linearly related task asilomar conference signal system computer,Computer and information sciences
10.1109/PICMET.2016.7806666,integrated innovation management model viewpoint fitting customer value based chinese case,portland international conference management engineering technology picmet,integrated innovation management model viewpoint fitting customer value based chinese case portland international conference management engineering technology picmet,Computer and information sciences
10.1109/ISSCC.2017.7870383,compact ghz fully packaged point point wireless system printed dbi lens antenna achieving,ieee international solid state circuit conference isscc,compact ghz fully packaged point point wireless system printed dbi lens antenna achieving ieee international solid state circuit conference isscc,Engineering
10.1109/WI.2016.0049,joint model topic expertise activity trend question answering web application,ieee wic acm international conference web intelligence,joint model topic expertise activity trend question answering web application ieee wic acm international conference web intelligence,Computer and information sciences
10.1109/ACSSC.2016.7869515,doubly compressed diffusion lm adaptive network,asilomar conference signal system computer,doubly compressed diffusion lm adaptive network asilomar conference signal system computer,Computer and information sciences
10.1109/ICITST.2016.7856670,metric vertex cut partitioning,international conference internet technology secured transaction icitst,metric vertex cut partitioning international conference internet technology secured transaction icitst,Computer and information sciences
10.1109/WI.2016.0079,wikipedia editing history dbpedia extracting publishing encyclopedia editing activity linked data,ieee wic acm international conference web intelligence,wikipedia editing history dbpedia extracting publishing encyclopedia editing activity linked data ieee wic acm international conference web intelligence,Computer and information sciences
10.1109/LSP.2016.2616890,transient performance analysis zero attracting lm,ieee signal processing letter,transient performance analysis zero attracting lm ieee signal processing letter,Computer and information sciences
10.1097/MD.0000000000005087,first line cart regimen impact course cell count hiv infected patient achieve sustained undetectable viral load,medicine,first line cart regimen impact course cell count hiv infected patient achieve sustained undetectable viral load medicine,Medical research
10.1109/WI.2016.0104,multi context bdi recommender system theory simulation,ieee wic acm international conference web intelligence,multi context bdi recommender system theory simulation ieee wic acm international conference web intelligence,Computer and information sciences
10.1097/MIB.0000000000001033,development ibd disk,inflammatory bowel disease,development ibd disk inflammatory bowel disease,Medical research
10.1109/LCN.2016.034,stability consistency lisp pull routing architecture,ieee conference local computer network workshop lcn workshop,stability consistency lisp pull routing architecture ieee conference local computer network workshop lcn workshop,Computer and information sciences
10.1109/SMC.2016.7844670,study effect electrical stimulation motor imagery learning brain computer interfacing,ieee international conference system man cybernetics smc,study effect electrical stimulation motor imagery learning brain computer interfacing ieee international conference system man cybernetics smc,Biology (fond.)
10.1108/MF-06-2016-0178,impact quality financing monitoring survival ipo firm,managerial finance,impact quality financing monitoring survival ipo firm managerial finance,Mathematics
10.1681/ASN.2014111061,epitope spreading autoantibody response plar associate poor prognosis membranous nephropathy,journal american society nephrology,epitope spreading autoantibody response plar associate poor prognosis membranous nephropathy journal american society nephrology,Medical research
10.1002/9781119332428.ch17,conclusion perspective,brain computer interface,conclusion perspective brain computer interface,Biology (fond.)
10.1103/PhysRevLett.118.044102,observation mode locked spatial laser soliton,physical review letter,observation mode locked spatial laser soliton physical review letter,"Physical sciences, Astronomy"
10.1080/0267257X.2017.1296480,food capacity alternative food market visceral encounter bodily interaction contagious magic,journal marketing management,food capacity alternative food market visceral encounter bodily interaction contagious magic journal marketing management,Biology (fond.)
10.1109/CSCI.2016.0090,comparison edge partitioners graph processing,international conference computational science computational intelligence csci,comparison edge partitioners graph processing international conference computational science computational intelligence csci,Computer and information sciences
10.1108/AAAJ-05-2014-1705,intertextuality corporate narrative discursive analysis contested privatization,accounting auditing accountability journal,intertextuality corporate narrative discursive analysis contested privatization accounting auditing accountability journal,Social sciences
10.1007/s11695-017-2676-8,rare cause small bowel ischemia pregnancy roux gastric bypass,obesity surgery,rare cause small bowel ischemia pregnancy roux gastric bypass obesity surgery,Medical research
10.23736/S0021-9509.16.08177-5,long term functional outcome subclavian vein patency patient undergoing thoracic outlet surgery paget schroetter syndrome,journal cardiovascular surgery,long term functional outcome subclavian vein patency patient undergoing thoracic outlet surgery paget schroetter syndrome journal cardiovascular surgery,Medical research
10.1109/FDL.2016.7880366,flexible runtime verification based logical clock constraint,forum specification design language fdl,flexible runtime verification based logical clock constraint forum specification design language fdl,Computer and information sciences
10.1039/9781782622703-00001,toward accurate coarse graining approach protein membrane simulation,chemical modelling,toward accurate coarse graining approach protein membrane simulation chemical modelling,Biology (fond.)
10.1016/j.icarus.2015.10.021,fast method quantifying observational selection effect asteroid survey,icarus,fast method quantifying observational selection effect asteroid survey icarus,"Earth, Ecology, Energy and applied biology"
10.1249/MSS.0000000000000823,enhanced endurance performance periodization carbohydrate intake,medicine science sport exercise,enhanced endurance performance periodization carbohydrate intake medicine science sport exercise,Biology (fond.)
10.1017/S1473550415000439,carbonization titan tholins implication low albedo surface centaur trans neptunian object,international journal astrobiology,carbonization titan tholins implication low albedo surface centaur trans neptunian object international journal astrobiology,"Earth, Ecology, Energy and applied biology"
10.1017/S0013091515000450,geodesic tree hyperbolic relatively hyperbolic space,proceeding edinburgh mathematical society,geodesic tree hyperbolic relatively hyperbolic space proceeding edinburgh mathematical society,Mathematics
10.1017/S1474748014000383,analytic reducibility resonant cocycles normal form,journal institute mathematics jussieu,analytic reducibility resonant cocycles normal form journal institute mathematics jussieu,Mathematics
10.1249/MSS.0000000000000860,functional neuromuscular change anterior cruciate ligament rupture rat,medicine science sport exercise,functional neuromuscular change anterior cruciate ligament rupture rat medicine science sport exercise,Medical research
10.1016/j.icarus.2015.10.030,semi analytical model exploring galilean satellite formation massive disk,icarus,semi analytical model exploring galilean satellite formation massive disk icarus,"Earth, Ecology, Energy and applied biology"
10.7567/APEX.9.015502,dislocation filtering polarity selective area growth gan nanowires continuous flow metal organic vapor phase epitaxy,applied physic express,dislocation filtering polarity selective area growth gan nanowires continuous flow metal organic vapor phase epitaxy applied physic express,"Physical sciences, Astronomy"
10.3233/JAD-150194,exercise plus cognitive performance exercise alone subject mild cognitive impairment,journal alzheimer disease,exercise plus cognitive performance exercise alone subject mild cognitive impairment journal alzheimer disease,Medical research
10.1017/S0960129514000103,module relative monad syntax semantics,mathematical structure computer science,module relative monad syntax semantics mathematical structure computer science,Computer and information sciences
10.4310/CMS.2016.v14.n1.a6,stationary solution vacuum one dimensional chemotaxis model nonlinear pressure,communication mathematical science,stationary solution vacuum one dimensional chemotaxis model nonlinear pressure communication mathematical science,"Physical sciences, Astronomy"
10.1016/j.npg.2015.10.011,pacte dénégatif dépersonnalisation de soignants dans le phénomènes maltraitance gériatrie,npg neurologie psychiatrie gériatrie,pacte dénégatif dépersonnalisation de soignants dans le phénomènes maltraitance gériatrie npg neurologie psychiatrie gériatrie,Medical research
10.1103/PhysRevLett.116.010401,quantum nonlocality arbitrary limited detection efficiency,physical review letter,quantum nonlocality arbitrary limited detection efficiency physical review letter,"Physical sciences, Astronomy"
10.1007/s12237-015-9999-2,change coastal benthic algae succession trajectory assemblage contrasting nutrient grazer load,estuary coast,change coastal benthic algae succession trajectory assemblage contrasting nutrient grazer load estuary coast,Biology (fond.)
10.1051/0004-6361/201526960,deconvolution post adaptive optic image faint circumstellar environment mean inexact bregman procedure,astronomy astrophysics,deconvolution post adaptive optic image faint circumstellar environment mean inexact bregman procedure astronomy astrophysics,"Physical sciences, Astronomy"
10.1016/j.npg.2016.01.001,vous avez dit silver économie,npg neurologie psychiatrie gériatrie,vous avez dit silver économie npg neurologie psychiatrie gériatrie,Medical research
10.1051/0004-6361/201527453,compositional study asteroid erigone collisional family using visible spectroscopy gtc,astronomy astrophysics,compositional study asteroid erigone collisional family using visible spectroscopy gtc astronomy astrophysics,"Physical sciences, Astronomy"
10.1080/2162402X.2015.1060392,hyperthermic intra peritoneal chemotherapy anticancer immune response,oncoimmunology,hyperthermic intra peritoneal chemotherapy anticancer immune response oncoimmunology,Medical research
10.1103/PhysRevB.93.035108,excitation dynamic extended bose hubbard model,physical review,excitation dynamic extended bose hubbard model physical review,"Physical sciences, Astronomy"
10.1080/1612197X.2015.1133692,internalisation sociocultural thin ideal standard sport scale development preliminary validation female aesthetic sport athlete,international journal sport exercise psychology,internalisation sociocultural thin ideal standard sport scale development preliminary validation female aesthetic sport athlete international journal sport exercise psychology,Biology (fond.)
10.1080/1612197X.2015.1122720,internalisation sociocultural thin ideal standard sport scale development preliminary validation female athlete participating aesthetic sport,international journal sport exercise psychology,internalisation sociocultural thin ideal standard sport scale development preliminary validation female athlete participating aesthetic sport international journal sport exercise psychology,Biology (fond.)
10.1103/PhysRevD.93.024018,second einstein telescope mock data science challenge low frequency binary neutron star data analysis,physical review,second einstein telescope mock data science challenge low frequency binary neutron star data analysis physical review,"Physical sciences, Astronomy"
10.1007/s12237-015-0006-8,erratum change coastal benthic algae succession trajectory assemblage contrasting nutrient grazer load,estuary coast,erratum change coastal benthic algae succession trajectory assemblage contrasting nutrient grazer load estuary coast,Biology (fond.)
10.1515/crelle-2013-0111,big denominator analytic normal form,journal für die reine und angewandte mathematik crelles journal,big denominator analytic normal form journal für die reine und angewandte mathematik crelles journal,Mathematics
10.7554/eLife.09531,area specific development distinct projection neuron subclass regulated postnatal epigenetic modification,elife,area specific development distinct projection neuron subclass regulated postnatal epigenetic modification elife,Biology (fond.)
10.3847/0004-6256/151/1/1,chemical evolution inner degree milky way bulge trend metallicity gradient,astronomical journal,chemical evolution inner degree milky way bulge trend metallicity gradient astronomical journal,"Earth, Ecology, Energy and applied biology"
10.1002/2015GL066818,segmented hellenic slab rollback driving aegean deformation seismicity,geophysical research letter,segmented hellenic slab rollback driving aegean deformation seismicity geophysical research letter,"Earth, Ecology, Energy and applied biology"
10.1103/PhysRevD.93.021101,low frequency gravitational wave detection ground based atom interferometer array,physical review,low frequency gravitational wave detection ground based atom interferometer array physical review,"Physical sciences, Astronomy"
10.1103/PhysRevE.93.010201,control generation drifting pattern asymmetrical fourier filtering,physical review,control generation drifting pattern asymmetrical fourier filtering physical review,"Physical sciences, Astronomy"
10.1142/S0217751X16410086,introducing quantum effect classical theory,international journal modern physic,introducing quantum effect classical theory international journal modern physic,"Physical sciences, Astronomy"
10.1158/0008-5472.CAN-15-1465,sigmar regulates membrane electrical activity response extracellular matrix stimulation drive cancer cell invasiveness,cancer research,sigmar regulates membrane electrical activity response extracellular matrix stimulation drive cancer cell invasiveness cancer research,Medical research
10.3847/2041-8205/818/1/L6,imprint radial migration milky way metallicity distribution function,astrophysical journal,imprint radial migration milky way metallicity distribution function astrophysical journal,"Physical sciences, Astronomy"
10.1002/2015JF003644,quantified sensitivity small lake sediment record historic earthquake implication paleoseismology,journal geophysical research earth surface,quantified sensitivity small lake sediment record historic earthquake implication paleoseismology journal geophysical research earth surface,"Earth, Ecology, Energy and applied biology"
10.4171/GGD/342,action group homeomorphisms one manifold,group geometry dynamic,action group homeomorphisms one manifold group geometry dynamic,Mathematics
10.3847/0004-637X/818/1/66,influence nonlinearity parameter solar wind sub ion magnetic energy spectrum flr landau fluid simulation,astrophysical journal,influence nonlinearity parameter solar wind sub ion magnetic energy spectrum flr landau fluid simulation astrophysical journal,"Physical sciences, Astronomy"
10.1002/dvdy.24345,ligand binding constitutive fgf receptor singledrosophilatracheal cell implication role fgf collective migration,developmental dynamic,ligand binding constitutive fgf receptor singledrosophilatracheal cell implication role fgf collective migration developmental dynamic,Biology (fond.)
10.1002/2015TC003898,tectonic expression active slab tear high resolution seismic bathymetric data offshore sicily ionian sea,tectonics,tectonic expression active slab tear high resolution seismic bathymetric data offshore sicily ionian sea tectonics,"Earth, Ecology, Energy and applied biology"
10.1093/mnras/stv2548,hydrodynamic simulation interaction agb star main sequence companion eccentric orbit,monthly notice royal astronomical society,hydrodynamic simulation interaction agb star main sequence companion eccentric orbit monthly notice royal astronomical society,"Physical sciences, Astronomy"
10.1074/jbc.M115.677799,progesterone induced acrosome exocytosis requires sequential involvement calcium independent phospholipase iplaβ group secreted phospholipase spla,journal biological chemistry,progesterone induced acrosome exocytosis requires sequential involvement calcium independent phospholipase iplaβ group secreted phospholipase spla journal biological chemistry,Biology (fond.)
10.1051/0004-6361/201527614,near infrared spectro interferometry mira variable comparison dynamic model atmosphere convection simulation,astronomy astrophysics,near infrared spectro interferometry mira variable comparison dynamic model atmosphere convection simulation astronomy astrophysics,"Physical sciences, Astronomy"
10.1128/JVI.02030-15,pan genotypic hepatitis virus inhibition natural product derived wild egyptian artichoke,journal virology,pan genotypic hepatitis virus inhibition natural product derived wild egyptian artichoke journal virology,Biology (fond.)
10.1051/0004-6361/201527573,asteroid model lowell photometric database,astronomy astrophysics,asteroid model lowell photometric database astronomy astrophysics,"Physical sciences, Astronomy"
10.1142/S0219720016400011,hybrid model cell cycle mammal,journal bioinformatics computational biology,hybrid model cell cycle mammal journal bioinformatics computational biology,Biology (fond.)
10.1088/1751-8113/49/3/03LT01,multi symplectic structure serre green naghdi equation,journal physic mathematical theoretical,multi symplectic structure serre green naghdi equation journal physic mathematical theoretical,"Physical sciences, Astronomy"
10.1161/CIRCRESAHA.115.307599,disruption glut hematopoietic stem cell prevents myelopoiesis enhanced glucose flux atheromatous plaque apoe mouse,circulation research,disruption glut hematopoietic stem cell prevents myelopoiesis enhanced glucose flux atheromatous plaque apoe mouse circulation research,Medical research
10.1249/MSS.0000000000000800,peripheral central fatigue development all out repeated cycling sprint,medicine science sport exercise,peripheral central fatigue development all out repeated cycling sprint medicine science sport exercise,Biology (fond.)
10.1103/PhysRevLett.116.061102,observation gravitational wave binary black hole merger,physical review letter,observation gravitational wave binary black hole merger physical review letter,"Physical sciences, Astronomy"
10.3847/2041-8205/818/2/L22,astrophysical implication binary black hole merger,astrophysical journal,astrophysical implication binary black hole merger astrophysical journal,"Earth, Ecology, Energy and applied biology"
10.1103/PhysRevLett.116.083601,subradiance large cloud cold atom,physical review letter,subradiance large cloud cold atom physical review letter,"Physical sciences, Astronomy"
10.1074/jbc.M115.702373,mambalgin pain relieving peptide stepwise solid phase synthesis crystal structure functional domain acid sensing ion channel inhibition,journal biological chemistry,mambalgin pain relieving peptide stepwise solid phase synthesis crystal structure functional domain acid sensing ion channel inhibition journal biological chemistry,Biology (fond.)
10.7554/eLife.09373,feedback mechanism convert individual cell feature supracellular ecm structure drosophila trachea,elife,feedback mechanism convert individual cell feature supracellular ecm structure drosophila trachea elife,Biology (fond.)
10.1103/PhysRevB.93.075141,energy landscape penrose tiling,physical review,energy landscape penrose tiling physical review,"Physical sciences, Astronomy"
10.1088/1475-7516/2016/02/024,dark matter velocity dispersion effect cmb matter power spectrum,journal cosmology astroparticle physic,dark matter velocity dispersion effect cmb matter power spectrum journal cosmology astroparticle physic,"Physical sciences, Astronomy"
10.1002/2015GL066948,wastewater disposal earthquake swarm activity southern end central valley california,geophysical research letter,wastewater disposal earthquake swarm activity southern end central valley california geophysical research letter,"Earth, Ecology, Energy and applied biology"
10.1017/S1743921315008492,wise data sparse photometry used shape reconstruction asteroid,proceeding international astronomical union,wise data sparse photometry used shape reconstruction asteroid proceeding international astronomical union,"Earth, Ecology, Energy and applied biology"
10.1017/S1743921315008698,dealing uncertainty asteroid deflection demonstration mission neotωist,proceeding international astronomical union,dealing uncertainty asteroid deflection demonstration mission neotωist proceeding international astronomical union,"Earth, Ecology, Energy and applied biology"
10.1142/S0218202516500226,analytical numerical investigation traveling wave allen cahn model relaxation,mathematical model method applied science,analytical numerical investigation traveling wave allen cahn model relaxation mathematical model method applied science,"Physical sciences, Astronomy"
10.3847/0004-637X/818/2/204,lofar vla andchandraobservations toothbrush galaxy cluster,astrophysical journal,lofar vla andchandraobservations toothbrush galaxy cluster astrophysical journal,"Physical sciences, Astronomy"
10.1103/PhysRevE.93.022201,regular mode mixed dynamic based optical fiber,physical review,regular mode mixed dynamic based optical fiber physical review,"Physical sciences, Astronomy"
10.3847/2041-8205/819/2/L33,protosolar nebula origin ice agglomerated comet churyumov gerasimenko,astrophysical journal,protosolar nebula origin ice agglomerated comet churyumov gerasimenko astrophysical journal,"Physical sciences, Astronomy"
10.1103/PhysRevD.93.042007,first low frequency all sky search continuous gravitational wave signal,physical review,first low frequency all sky search continuous gravitational wave signal physical review,"Physical sciences, Astronomy"
10.1007/978-3-319-24151-7_8,interferometric surface mapping rapidly rotating star application star achernar,lecture note physic,interferometric surface mapping rapidly rotating star application star achernar lecture note physic,"Physical sciences, Astronomy"
10.1016/S1470-2045(15)00583-5,clinical effect molecular method sarcoma diagnosis gensarc prospective multicentre observational study,lancet oncology,clinical effect molecular method sarcoma diagnosis gensarc prospective multicentre observational study lancet oncology,Medical research
10.1103/PhysRevE.93.032108,lossy chaotic electromagnetic reverberation chamber universal statistical behavior vectorial field,physical review,lossy chaotic electromagnetic reverberation chamber universal statistical behavior vectorial field physical review,"Physical sciences, Astronomy"
10.1103/PhysRevE.93.033109,intermittency fractal fourier hydrodynamics lesson burger equation,physical review,intermittency fractal fourier hydrodynamics lesson burger equation physical review,"Physical sciences, Astronomy"
10.1093/mnras/stv2611,antarctica photometry blazhko lyrae star arae,monthly notice royal astronomical society,antarctica photometry blazhko lyrae star arae monthly notice royal astronomical society,"Earth, Ecology, Energy and applied biology"
10.1103/PhysRevD.93.042005,all sky search long duration gravitational wave transient initial ligo,physical review,all sky search long duration gravitational wave transient initial ligo physical review,"Physical sciences, Astronomy"
10.1017/S1743921315009655,multiple origin asteroid pair,proceeding international astronomical union,multiple origin asteroid pair proceeding international astronomical union,"Earth, Ecology, Energy and applied biology"
10.4310/CMS.2016.v14.n3.a1,lagrangian averaged gyrokinetic waterbag continuum,communication mathematical science,lagrangian averaged gyrokinetic waterbag continuum communication mathematical science,"Physical sciences, Astronomy"
10.1103/PhysRevD.93.042006,search orion spur continuous gravitational wave using loosely coherent algorithm data ligo interferometer,physical review,search orion spur continuous gravitational wave using loosely coherent algorithm data ligo interferometer physical review,"Physical sciences, Astronomy"
10.3847/0004-637X/820/2/89,muscle treasury survey motivation overview,astrophysical journal,muscle treasury survey motivation overview astrophysical journal,"Earth, Ecology, Energy and applied biology"
10.1103/PhysRevE.93.043104,depletion nonlinearity magnetohydrodynamic turbulence insight analysis simulation,physical review,depletion nonlinearity magnetohydrodynamic turbulence insight analysis simulation physical review,"Physical sciences, Astronomy"
10.1109/CAMAD.2015.7390496,compact linear embroidered antenna research clear,ieee international workshop computer aided modelling design communication link network camad,compact linear embroidered antenna research clear ieee international workshop computer aided modelling design communication link network camad,Computer and information sciences
10.1128/MCB.00745-15,srebp microrna genomic locus control adipocyte differentiation,molecular cellular biology,srebp microrna genomic locus control adipocyte differentiation molecular cellular biology,Biology (fond.)
10.13182/FST15-171,tokamak plasma boundary reconstruction using toroidal harmonic optimal control method,fusion science technology,tokamak plasma boundary reconstruction using toroidal harmonic optimal control method fusion science technology,"Physical sciences, Astronomy"
10.1109/TENCON.2015.7373193,homing moving dock quadrotor vehicle,tencon ieee region conference,homing moving dock quadrotor vehicle tencon ieee region conference,Engineering
10.3847/2041-8205/820/2/L24,murchison widefield array limit radio emission antares neutrino event,astrophysical journal,murchison widefield array limit radio emission antares neutrino event astrophysical journal,"Physical sciences, Astronomy"
10.1097/BOR.0000000000000293,pelvic fracture epidemiology consequence medical management,current opinion rheumatology,pelvic fracture epidemiology consequence medical management current opinion rheumatology,Medical research
10.1109/CLEOPR.2015.7375892,iii nitride quantum dot based light emitting diode emission,conference laser electro optic pacific rim cleo,iii nitride quantum dot based light emitting diode emission conference laser electro optic pacific rim cleo,Engineering
10.1103/PhysRevLett.116.131103,advanced ligo detector era first discovery,physical review letter,advanced ligo detector era first discovery physical review letter,"Physical sciences, Astronomy"
10.1103/PhysRevLett.116.131102,implication stochastic gravitational wave background binary black hole,physical review letter,implication stochastic gravitational wave background binary black hole physical review letter,"Physical sciences, Astronomy"
10.1103/PhysRevE.93.031102,abrupt growth large aggregate correlated coalescence turbulent flow,physical review,abrupt growth large aggregate correlated coalescence turbulent flow physical review,"Physical sciences, Astronomy"
10.1109/LSP.2016.2518699,closed form semi blind receiver mimo relay system using double khatri rao space time coding,ieee signal processing letter,closed form semi blind receiver mimo relay system using double khatri rao space time coding ieee signal processing letter,Computer and information sciences
10.1109/TIP.2015.2509258,nonparametric detection nonlinearly mixed pixel endmember estimation hyperspectral image,ieee transaction image processing,nonparametric detection nonlinearly mixed pixel endmember estimation hyperspectral image ieee transaction image processing,Computer and information sciences
10.1103/PhysRevE.93.040102,superdiffusion large scale synchronization topological defect,physical review,superdiffusion large scale synchronization topological defect physical review,"Physical sciences, Astronomy"
10.1590/S1516-14982016000100001,atualidades rochedo freudiano primeiro homem grávido,ágora estudos teoria psicanalítica,atualidades rochedo freudiano primeiro homem grávido ágora estudos teoria psicanalítica,Humanities
10.1249/MSS.0000000000000937,mechanical alteration repeated treadmill sprint normobaric hypoxia,medicine science sport exercise,mechanical alteration repeated treadmill sprint normobaric hypoxia medicine science sport exercise,Biology (fond.)
10.1109/JSTQE.2015.2490100,numerical modeling pump absorption coiled twisted double clad fiber,ieee journal selected topic quantum electronics,numerical modeling pump absorption coiled twisted double clad fiber ieee journal selected topic quantum electronics,"Physical sciences, Astronomy"
10.1109/LAWP.2015.2426510,beam switching conformal antenna array wave communication,ieee antenna wireless propagation letter,beam switching conformal antenna array wave communication ieee antenna wireless propagation letter,Computer and information sciences
10.7554/eLife.12040,family photoswitchable nmda receptor,elife,family photoswitchable nmda receptor elife,Biology (fond.)
10.1109/TAP.2016.2517667,ball grid array module integrated shaped lens wigig application eyewear device,ieee transaction antenna propagation,ball grid array module integrated shaped lens wigig application eyewear device ieee transaction antenna propagation,Computer and information sciences
10.3750/AIP2016.46.1.03,growth age estimation greater forkbeard phycis blennoides actinopterygii gadiformes phycidae gulf tunis central mediterranean,acta ichthyologica piscatoria,growth age estimation greater forkbeard phycis blennoides actinopterygii gadiformes phycidae gulf tunis central mediterranean acta ichthyologica piscatoria,"Earth, Ecology, Energy and applied biology"
10.1103/PhysRevB.93.115205,polariton condensation phase diagram wide band gap planar microcavities gan versus zno,physical review,polariton condensation phase diagram wide band gap planar microcavities gan versus zno physical review,"Physical sciences, Astronomy"
10.1002/2015JB012465,scale selection columnar jointing insight experiment cooling stearic acid numerical simulation,journal geophysical research solid earth,scale selection columnar jointing insight experiment cooling stearic acid numerical simulation journal geophysical research solid earth,"Earth, Ecology, Energy and applied biology"
10.1103/PhysRevLett.116.133901,dynamic localized structure system broken parity symmetry,physical review letter,dynamic localized structure system broken parity symmetry physical review letter,"Physical sciences, Astronomy"
10.1158/0008-5472.CAN-15-2063,frequency dynamic leukemia initiating cell short term vivo culture informs outcome acute myeloid leukemia patient,cancer research,frequency dynamic leukemia initiating cell short term vivo culture informs outcome acute myeloid leukemia patient cancer research,Medical research
10.1109/TUFFC.2015.2497002,allan variance computed space domain definition application insar data characterize noise geophysical signal,ieee transaction ultrasonics ferroelectrics frequency control,allan variance computed space domain definition application insar data characterize noise geophysical signal ieee transaction ultrasonics ferroelectrics frequency control,"Physical sciences, Astronomy"
